n t exp p1 p2 p3 p4 p22 p32 
1.0 3.9677999999999995e-05 0.0018072226902670183 0.0001375868161004216 1.7715480236944586e-07 0.00021798612479443687 0.00029037088067736255 0.0006329461726767515 0.0005111053924727422 
2.0 4.51105e-05 0.0018169371053223626 0.00027517325036020135 7.078370618142874e-07 0.0002184609715349907 0.00029084281218657904 0.0006348186458140696 0.000522297205952849 
3.0 4.8428e-05 0.0018267037385467102 0.0004127596846199811 1.5923074940167014e-06 0.0002192525398549731 0.0002916295291671614 0.0006369627728144439 0.0005334948382211259 
4.0 5.4475e-05 0.0018365228706298563 0.0005503461188797608 2.8305660989766884e-06 0.00022036095829429527 0.00029273116626304523 0.0006393785536778743 0.0005447011986660289 
5.0 7.45415e-05 0.0018463947837703974 0.0006879325531395406 4.422612876694248e-06 0.00022178635539286842 0.0002941478581181663 0.0006420659884043607 0.0005559191966760141 
6.0 8.940249999999999e-05 0.0018563197616838375 0.0008255189873993203 6.36844782716938e-06 0.0002235288596906037 0.00029587973937646005 0.0006450250769939034 0.0005671517416395373 
7.0 0.0001084435 0.0018662980896107456 0.0009631054216591001 8.668070950402084e-06 0.00022558859972741233 0.00029792694468186226 0.0006482558194465019 0.0005784017429450547 
8.0 0.0001277065 0.0018763300543249537 0.0011006918559188798 1.1321482246392363e-05 0.0002279657040432055 0.0003002896086783085 0.0006517582157621566 0.0005896721099810222 
9.0 0.0001446195 0.001886415944141795 0.0012382782901786595 1.4328681715140214e-05 0.00023066030117789438 0.00030296786600973437 0.0006555322659408674 0.0006009657521358957 
10.0 0.0001642605 0.0018965560489263937 0.0013758647244384394 1.7689669356645634e-05 0.00023367251967139018 0.0003059618513200755 0.0006595779699826344 0.0006122855787981313 
11.0 0.000184183 0.0019067506601019937 0.0015134511586982191 2.1404445170908627e-05 0.00023700248806360412 0.0003092716992532676 0.0006638953278874574 0.000623634499356185 
12.0 0.00020733950000000002 0.0019170000706583347 0.0016510375929579988 2.5473009157929198e-05 0.00024065033489444735 0.0003128975444532462 0.0006684843396553366 0.0006350154231985128 
13.0 0.0002340315 0.0019273045751600723 0.0017886240272177788 2.9895361317707342e-05 0.00024461618870383106 0.000316839521563947 0.0006733450052862717 0.0006464312597135705 
14.0 0.000262388 0.001937664469755244 0.0019262104614775585 3.467150165024305e-05 0.0002489001780316665 0.0003210977652293056 0.0006784773247802632 0.0006578849182898142 
15.0 0.0002946715 0.0019480800521837793 0.002063796895737338 3.980143015553634e-05 0.00025350243141786477 0.00032567241009325763 0.0006838812981373104 0.0006693793083157 
16.0 0.0003296965 0.001958551621786058 0.002201383329997118 4.52851468335872e-05 0.0002584230774023372 0.00033056359079973875 0.000689556925357414 0.0006809173391796839 
17.0 0.0003574545 0.001969079479511514 0.002338969764256898 5.112265168439563e-05 0.0002636622445249949 0.0003357714419926845 0.0006955042064405735 0.0006925019202702217 
18.0 0.00039448 0.0019796639279272814 0.0024765561985166775 5.731394470796164e-05 0.0002692200613257489 0.00034129609831603066 0.0007017231413867892 0.0007041359609757694 
19.0 0.00042813849999999995 0.001990305271226893 0.0026141426327764574 6.385902590428521e-05 0.00027509665634451076 0.0003471376944137128 0.000708213730196061 0.0007158223706847831 
20.0 0.000467663 0.0020010038152390203 0.0027517290670362373 7.075789527336637e-05 0.00028129215812119137 0.00035329636492966647 0.0007149759728683889 0.0007275640587857187 
21.0 0.00050832 0.0020117598674362657 0.0028893155012960164 7.801055281520509e-05 0.000287806695195702 0.0003597722445078274 0.0007220098694037728 0.0007393639346670324 
22.0 0.000547566 0.0020225737369439977 0.0030269019355557963 8.561699852980138e-05 0.0002946403961079539 0.0003665654677921312 0.000729315419802213 0.00075122490771718 
23.0 0.0005842645 0.0020334457345492344 0.003164488369815576 9.357723241715524e-05 0.00030179338939785827 0.00037367616942651354 0.0007368926240637092 0.0007631498873246174 
24.0 0.000628234 0.002044376172709576 0.0033020748040753557 0.00010189125447726668 0.0003092658036053262 0.00038110448405491004 0.0007447414821882614 0.0007751417828778008 
25.0 0.000676649 0.0020553653655621855 0.0034396612383351356 0.0001105590647101357 0.00031705776727026895 0.00038885054632125624 0.0007528619941758697 0.0007872035037651861 
26.0 0.0007126869999999999 0.0020664136289328164 0.0035772476725949155 0.00011958066311576228 0.00032516940893259773 0.0003969144908694879 0.0007612541600265341 0.0007993379593752292 
27.0 0.000733842 0.0020775212803448885 0.0037148341068546954 0.00012895604969414645 0.00033360085713222363 0.00040529645234354064 0.0007699179797402547 0.0008115480590963864 
28.0 0.000782678 0.0020886886390286143 0.003852420541114475 0.00013868522444528817 0.000342352240409058 0.0004139965653873501 0.0007788534533170313 0.0008238367123171133 
29.0 0.00082332 0.0020999160259301745 0.003990006975374255 0.00014876818736918746 0.00035142368730301193 0.0004230149646448518 0.0007880605807568642 0.000836206828425866 
30.0 0.0008538555 0.0021112037637209392 0.004127593409634035 0.00015920493846584432 0.0003608153263539967 0.00043235178475998153 0.0007975393620597528 0.0008486613168111007 
31.0 0.0009035069999999999 0.002122552176806743 0.004265179843893814 0.00016999547773525878 0.0003705272861019233 0.00044200716037667484 0.0008072897972256978 0.0008612030868612732 
32.0 0.0009261095 0.002133961591337212 0.004402766278153594 0.0001811398051774308 0.0003805596950867032 0.00045198122613886735 0.0008173118862546989 0.0008738350479648395 
33.0 0.0009833355 0.0021454323352151283 0.004540352712413374 0.0001926379207923604 0.00039091268184824734 0.00046227411669049487 0.000827605629146756 0.0008865601095102556 
34.0 0.001033067 0.002156964738105862 0.0046779391466731535 0.00020448982458004758 0.0004015863749264671 0.0004728859666754929 0.000838171025901869 0.0008993811808859775 
35.0 0.001110568 0.0021685591314468435 0.004815525580932934 0.00021669551654049233 0.0004125809028612736 0.00048381691073779706 0.0008490080765200385 0.0009123011714804611 
36.0 0.000298235 0.002180215848457085 0.0049531120151927125 0.0002292549966736946 0.000423896394192578 0.000495067083521343 0.0008601167810012638 0.0009253229906821626 
37.0 0.00030292599999999997 0.0021919352241467644 0.005090698449452493 0.0002421682649796545 0.00043553297746029145 0.0005066366196700664 0.0008714971393455452 0.0009384495478795378 
38.0 0.000340999 0.0022037175953268447 0.005228284883712272 0.00025543532145837195 0.0004474907812043253 0.0005185256538279031 0.0008831491515528828 0.0009516837524610428 
39.0 0.0003629775 0.0022155633006187623 0.005365871317972053 0.00026905616610984695 0.0004597699339645906 0.0005307343206387884 0.0008950728176232766 0.0009650285138151336 
40.0 0.0003783755 0.0022274726804641528 0.005503457752231832 0.00028303079893407957 0.00047237056428099867 0.0005432627547466579 0.0009072681375567265 0.000978486741330266 
41.0 0.00039568700000000004 0.0022394460771346385 0.0056410441864916125 0.00029735921993106974 0.00048529280069346066 0.0005561110907954477 0.0009197351113532323 0.0009920613443948963 
42.0 0.000413729 0.002251483834741662 0.005778630620751391 0.0003120414291008175 0.0004985367717418877 0.0005692794634290931 0.0009324737390127942 0.00100575523239748 
43.0 0.00043254599999999996 0.00226358629924638 0.0059162170550111715 0.0003270774264433228 0.000512102605966191 0.0005827680072915298 0.0009454840205354123 0.0010195713147264738 
