n t exp p1 p2 p3 p4 p22 p32 
1.0 0.00036857050000000004 0.003994072658521777 0.00029638182669185887 3.7458235108213415e-07 3.3031746317233785e-05 9.752405631954737e-05 0.0006845249187761782 0.0002824108380455226 
2.0 0.0004394745 0.004015273738813147 0.0005927626019965878 1.4954155133419097e-06 5.8327844964873385e-05 0.00019504958189869964 0.0006907205444396899 0.0003138176496340631 
3.0 0.0003499585 0.004036587357319003 0.0008891433773013167 3.3634704442427173e-06 8.412268888452789e-05 0.00029257868987819617 0.0006975811137631793 0.00034523789484223316 
4.0 0.0002219755 0.0040580141114074765 0.0011855241526060455 5.978747143784557e-06 0.00011041693765817323 0.0003901131714582084 0.0007051066267466466 0.0003766782904729155 
5.0 0.00027992299999999996 0.0040795546016176125 0.0014819049279107745 9.341245611967428e-06 0.00013721125086778524 0.00048765481783890756 0.0007132970833900917 0.000408145553328993 
6.0 0.00025970100000000004 0.004101209431676195 0.0017782857032155035 1.3450965848791335e-05 0.00016450628809533985 0.0005852054202204653 0.0007221524836935146 0.0004396464002133484 
7.0 0.000296021 0.004122979208514674 0.0020746664785202323 1.830790785425627e-05 0.000192302708922813 0.000682766769803053 0.0007316728276569152 0.00047118754792886447 
8.0 0.00030917 0.0041448645422861715 0.0023710472538249613 2.391207162836224e-05 0.00022060117293218052 0.0007803406577868424 0.0007418581152802937 0.0005027757132784241 
9.0 0.0003252835 0.00416686604638259 0.0026674280291296903 3.026345717110924e-05 0.00024940233970541833 0.0008779288753720049 0.00075270834656365 0.00053441761306491 
10.0 0.00037262600000000003 0.004188984337451795 0.0029638088044344193 3.736206448249727e-05 0.0002787068688245023 0.0009755332137587119 0.0007642235215069842 0.0005661199640912051 
11.0 0.0004169935 0.004211220035414904 0.0032601895797391483 4.5207893562526336e-05 0.00030851541987140835 0.0010731554641471358 0.0007764036401102961 0.000597889483160192 
12.0 0.00044419049999999997 0.004233573763483662 0.0035565703550438773 5.380094441119643e-05 0.0003388286524281124 0.0011707974177374472 0.0007892487023735859 0.0006297328870747536 
13.0 0.0004786905 0.004256046148177903 0.0038529511303486063 6.314121702850756e-05 0.00036964722607659036 0.001268460865729819 0.0008027587082968534 0.0006616568926377729 
14.0 0.0005141995000000001 0.004278637819343116 0.004149331905653335 7.322871141445972e-05 0.00040097180039881805 0.0013661475993244222 0.0008169336578800988 0.0006936682166521321 
15.0 0.0005635075 0.004301349410168094 0.004445712680958064 8.406342756905292e-05 0.0004328030349767714 0.0014638594097214285 0.000831773551123322 0.0007257735759207149 
16.0 0.0006064635000000001 0.004324181557202685 0.004742093456262793 9.564536549228713e-05 0.00046514158939242633 0.0015615980881210105 0.000847278388026523 0.0007579796872464033 
17.0 0.0006399894999999999 0.004347134900375626 0.005038474231567522 0.0001079745251841624 0.0004979881232277587 0.0016593654257233397 0.0008634481685897017 0.0007902932674320804 
18.0 0.0006888714999999999 0.004370210083012486 0.005334855006872251 0.00012105090664467869 0.0005313432960647445 0.001757163213728588 0.0008802828928128584 0.0008227210332806292 
19.0 0.00072153 0.0043934077518536915 0.00563123578217698 0.00013487450987383602 0.0005652077674853595 0.001854993243336927 0.0008977825606959929 0.000855269701594932 
20.0 0.0007691285 0.0044167285570726545 0.005927616557481709 0.00014944533487163436 0.0005995821970715797 0.00195285730574853 0.000915947172239105 0.000887945989177872 
21.0 0.0008096605 0.004440173152293998 0.006223997332786438 0.00016476338163807377 0.0006344672444053809 0.002050757192163567 0.0009347767274421952 0.0009207566128323321 
22.0 0.000848964 0.004463742194611873 0.006520378108091167 0.0001808286501731542 0.0006698635690687392 0.002148694693782212 0.0009542712263052631 0.0009537082893611948 
23.0 0.0009150359999999999 0.004487436344608375 0.006816758883395896 0.00019764114047687566 0.0007057718306436303 0.0022466716018046365 0.0009744306688283088 0.0009868077355673428 
24.0 0.0010331165 0.004511256266372057 0.007113139658700625 0.00021520085254923813 0.0007421926887120299 0.0023446897074310123 0.0009952550550113323 0.0010200616682536595 
25.0 0.0011178925 0.004535202627516546 0.007409520434005354 0.00023350778639024165 0.0007791268028559144 0.0024427508018615117 0.0010167443848543337 0.0010534768042230267 
26.0 0.0011243515 0.004559276099199256 0.0077059012093100825 0.0002525619419998862 0.0008165748326572594 0.0025408566762963073 0.0010388986583573128 0.0010870598602783282 
27.0 0.0011046089999999999 0.004583477356140189 0.008002281984614812 0.00027236331937817177 0.0008545374376980407 0.0026390091219355713 0.0010617178755202696 0.0011208175532224462 
28.0 0.001134007 0.00460780707664086 0.00829866275991954 0.00029291191852509835 0.0008930152775602346 0.002737209929979476 0.0010852020363432042 0.0011547565998582638 
29.0 0.00107342 0.004632265942603291 0.008595043535224271 0.000314207739440666 0.0009320090118258163 0.0028354608916281933 0.001109351140826117 0.0011888837169886637 
30.0 0.0010571525 0.004656854639549146 0.008891424310528999 0.00033625078212487465 0.0009715193000767626 0.002933763798081896 0.0011341651889690072 0.0012232056214165287 
31.0 0.0011171619999999999 0.004681573856638916 0.009187805085833728 0.00035904104657772436 0.0010115468018950487 0.003032120440540757 0.0011596441807718754 0.0012577290299447415 
32.0 0.0011358035 0.004706424286691259 0.009484185861138457 0.00038257853279921513 0.0010520921768626507 0.0031305326102049483 0.0011857881162347214 0.001292460659376185 
33.0 0.001178914 0.00473140662620241 0.009780566636443187 0.0004068632407893469 0.0010931560845615447 0.0032290020982746427 0.0012125969953575453 0.001327407226513742 
