n t exp p1 p2 p3 p4 p32 p42 ap 
1.0 0.00036857050000000004 0.003994072658521777 0.0002142085506389549 1.054020748860967e-05 4.89390419601395e-05 0.005459379038430626 4.0077361953270114e-07 3.3486120825071525e-07 3.3486120825071525e-07 
2.0 0.0004394745 0.004015273738813147 0.00042841694854024156 6.509147884509457e-05 9.841483089740326e-05 0.005489698029739234 1.6030944781308046e-06 1.339444833002861e-06 1.339444833002861e-06 
3.0 0.0003499585 0.004036587357319003 0.0006426253464415281 0.00013625467676345852 0.00014842739518906476 0.0055205866002757085 3.60696257579431e-06 3.0137508742564377e-06 3.606962575794309e-06 
4.0 0.0002219755 0.0040580141114074765 0.0008568337443428148 0.00021820568293613753 0.00019897673431480475 0.005552044750040052 6.412377912523218e-06 5.357779332011444e-06 5.797195407224682e-06 
5.0 0.00027992299999999996 0.0040795546016176125 0.0010710421422441016 0.0003081784300432994 0.0002500628480275064 0.005584072479032263 1.0019340488317528e-05 8.37153020626788e-06 8.613209047635163e-06 
6.0 0.00025970100000000004 0.004101209431676195 0.0012852505401453882 0.0004045437401509385 0.00030168573618162114 0.005616669787252343 1.442785030317724e-05 1.205500349702575e-05 1.4427850303177237e-05 
7.0 0.000296021 0.004122979208514674 0.0014994589380466748 0.000506225107050912 0.0003538453986809752 0.005649836674700289 1.9637907357102355e-05 1.640819920428505e-05 1.8495425561547937e-05 
8.0 0.00030917 0.0041448645422861715 0.0017136673359479616 0.0006124574138743698 0.00040654183545721405 0.005683573141376104 2.5649511650092873e-05 2.1431117328045776e-05 2.318878162889873e-05 
9.0 0.0003252835 0.00416686604638259 0.0019278757338492482 0.0007226685832240558 0.0004597750464592292 0.0057178791872797875 3.246266318214879e-05 2.7123757868307937e-05 2.8507918505229635e-05 
10.0 0.00037262600000000003 0.004188984337451795 0.0021420841317505352 0.000836414569466767 0.0005135450316473499 0.0057527548124113375 4.0077361953270113e-05 3.348612082507152e-05 3.445283619054065e-05 
11.0 0.0004169935 0.004211220035414904 0.0023562925296518214 0.0009533406385530806 0.0005678517909898849 0.005788200016770757 4.849360796345684e-05 4.051820619833655e-05 4.102353468483177e-05 
12.0 0.00044419049999999997 0.004233573763483662 0.002570500927553108 0.0010731568510601185 0.0006226953244609314 0.005824214800358043 5.771140121270896e-05 4.8220013988103e-05 5.771140121270895e-05 
13.0 0.0004786905 0.004256046148177903 0.002784709325454395 0.0011956217760907392 0.00067807563203892 0.005860799163173198 6.773074170102649e-05 5.659154419437088e-05 6.553366132496027e-05 
14.0 0.0005141995000000001 0.004278637819343116 0.002998917723355681 0.001320531246238138 0.000733992713705611 0.005897953105216221 7.855162942840942e-05 6.56327968171402e-05 7.398170224619175e-05 
15.0 0.0005635075 0.004301349410168094 0.0032131261212569678 0.0014477103416996294 0.0007904465694453769 0.005935676626487111 9.017406439485775e-05 7.534377185641093e-05 8.305552397640328e-05 
16.0 0.0006064635000000001 0.004324181557202685 0.0034273345191582548 0.0015770075212631271 0.0008474371992446797 0.005973969726985869 0.00010259804660037149 8.57244693121831e-05 9.275512651559492e-05 
17.0 0.0006399894999999999 0.004347134900375626 0.0036415429170595414 0.0017082902260920152 0.0009049646030916765 0.006012832406712495 0.00011582357604495062 9.677488918445672e-05 0.00010308050986376668 
18.0 0.0006888714999999999 0.004370210083012486 0.0038557513149608284 0.0018414415213405721 0.0009630287809759203 0.00605226466566699 0.00012985065272859517 0.00010849503147323175 0.00011403167402091854 
19.0 0.00072153 0.0043934077518536915 0.004069959712862114 0.0019763574862626757 0.0010216297328881274 0.006092266503849352 0.00014467927665130512 0.00012088489617850821 0.00012560861898705053 
20.0 0.0007691285 0.0044167285570726545 0.004284168110763402 0.0021129451552040677 0.0010807674588199918 0.006132837921259582 0.00016030944781308045 0.0001339444833002861 0.0001378113447621626 
21.0 0.0008096605 0.004440173152293998 0.004498376508664688 0.0022511208713585176 0.0011404419587640402 0.00617397891789768 0.0001767411662139212 0.00014767379283856544 0.0001506398513462548 
