n,gen,seq,prom
1,0.0000982325,0.0003685705,0.000039678
2,0.000114423,0.0004394745,0.0000451105
3,0.000124937,0.0003499585,0.000048428
4,0.00011711,0.0002219755,0.000054475
5,0.0001418185,0.000279923,0.0000745415
6,0.00015195,0.000259701,0.0000894025
7,0.0001702155,0.000296021,0.0001084435
8,0.0001625795,0.00030917,0.0001277065
9,0.0001731605,0.0003252835,0.0001446195
10,0.000165587,0.000372626,0.0001642605
11,0.000180433,0.0004169935,0.000184183
12,0.0001825945,0.0004441905,0.0002073395
13,0.000194801,0.0004786905,0.0002340315
14,0.000208465,0.0005141995,0.000262388
15,0.000220643,0.0005635075,0.0002946715
16,0.000235338,0.0006064635,0.0003296965
17,0.000248976,0.0006399895,0.0003574545
18,0.0002600015,0.0006888715,0.00039448
19,0.0002742355,0.00072153,0.0004281385
20,0.0002883505,0.0007691285,0.000467663
21,0.000300012,0.0008096605,0.00050832
22,0.00031352,0.000848964,0.000547566
23,0.000330347,0.000915036,0.0005842645
24,0.0003429935,0.0010331165,0.000628234
25,0.0003556385,0.0011178925,0.000676649
26,0.0003531335,0.0011243515,0.000712687
27,0.0003460425,0.001104609,0.000733842
28,0.0003582475,0.001134007,0.000782678
29,0.0003447745,0.00107342,0.00082332
30,0.000342298,0.0010571525,0.0008538555
31,0.000349985,0.001117162,0.000903507
32,0.000347769,0.0011358035,0.0009261095
33,0.0003576365,0.001178914,0.0009833355
34,0.0003647245,0.0012179565,0.001033067
35,0.000375442,0.001293538,0.001110568
36,0.0002200335,0.000947378,0.000298235
37,0.000221931,0.0009428015,0.000302926
38,0.0002481805,0.001020152,0.000340999
39,0.0002778125,0.0011984585,0.0003629775
40,0.0002842695,0.001197056,0.0003783755
41,0.000292177,0.001279871,0.000395687
42,0.0003002575,0.001331818,0.000413729
43,0.000307615,0.001380596,0.000432546
44,0.0003136815,0.0014321605,0.000450225
45,0.000321423,0.0014937265,0.0004721805
46,0.000329956,0.001550619,0.0004877545
47,0.0005715225,0.002271782,0.0021847555
48,0.000573986,0.0025967005,0.0022551355
49,0.000575828,0.002665699,0.002299553
50,0.0005786615,0.0027032405,0.002373674
51,0.0005816875,0.002750336,0.0024106105
52,0.0005765275,0.0027783265,0.002442391
53,0.0005738885,0.0027796405,0.0025101005
54,0.0005732405,0.002770343,0.0025451725
55,0.0005468755,0.0027217235,0.002504326
56,0.0005430645,0.0028064065,0.0025676215
57,0.0005363655,0.0028393325,0.0026566345
58,0.0005469105,0.002920472,0.0027394015
59,0.000554228,0.0030338865,0.002823447
60,0.000564208,0.003071712,0.0029195245
61,0.000571926,0.00314583,0.00300804
62,0.000581874,0.0032617365,0.0031153755
63,0.0005925575,0.0033033425,0.003211745
64,0.000672253,0.0038432885,0.003698409
65,0.0006649065,0.0038252445,0.003715426
66,0.000662701,0.0037665825,0.0037883025
67,0.000657801,0.0036099365,0.003793104
68,0.000653571,0.0036469355,0.003829483
69,0.0006689335,0.003689832,0.003964426
70,0.0003408345,0.0023932135,0.0008545115
71,0.0003425705,0.002429518,0.000860586
72,0.000352261,0.0024874515,0.0008948545
73,0.0003514655,0.0025044705,0.000910226
74,0.000371837,0.00263276,0.000972731
75,0.000365655,0.0026347685,0.000979613
76,0.0003663575,0.0026365125,0.0009806525
77,0.000373303,0.0026565545,0.0010031755
78,0.0003772045,0.0026991565,0.001031201
79,0.000384539,0.0028140135,0.0010549335
80,0.000385494,0.0028383125,0.001078615
81,0.000390475,0.0028529305,0.001106568
82,0.000396444,0.0029373385,0.001144958
83,0.0003998155,0.0030315705,0.0011653275
84,0.000404541,0.0030385955,0.0011891955
85,0.000408906,0.0030834715,0.0012158005
86,0.0004133345,0.0031639855,0.0012489975
87,0.0004179765,0.0032574535,0.0012795505
88,0.0004237265,0.0032800525,0.001303129
89,0.0004286445,0.00331495,0.001331954
90,0.000431553,0.0034281585,0.001361008
91,0.0004372675,0.003414412,0.0013868715
92,0.000443344,0.003482533,0.0014158685
93,0.000446458,0.003563613,0.001452197
94,0.0004506515,0.0036423845,0.0014795465
95,0.00045444,0.0036697945,0.0015127135
96,0.0004615725,0.004271756,0.001551277
97,0.000465925,0.00440395,0.0015777885
98,0.0004695,0.0044613415,0.001609824
99,0.0004785445,0.004683525,0.0016835735
100,0.0004778295,0.004609827,0.001674969
101,0.0004829315,0.0046939555,0.001712951
102,0.00048946,0.0047426805,0.0017445635
103,0.000491365,0.0048102605,0.0017779505
104,0.000498018,0.004956514,0.001812941
105,0.000502392,0.004972273,0.001847336
106,0.000505914,0.0051280585,0.0018831535
107,0.000509648,0.005094412,0.001920336
108,0.000517613,0.0051870055,0.0019524355
109,0.000523205,0.0054405485,0.002024391
110,0.000524453,0.005320311,0.0020328285
111,0.000531094,0.0054474615,0.0020772435
112,0.00053468,0.005444717,0.002101591
113,0.000541444,0.0055397585,0.0021455125
114,0.0005449885,0.005597288,0.002179424
115,0.000549914,0.0057093895,0.002217783
